Centre_ID,Centre_Title,Registration_Provider,Person_in_Charge,County,Maximum_Occupancy,Registration_Date,Registration_Conditions,Company_Directors,Chief_Inspector_Note,URL,reports
2360,A Middle Third,St Michael's House,Julie Cassidy,Dublin,5,18-11-2021,"Condition 1 Subject to any prohibitions or restrictions contained in any other condition(s),  the designated centre shall be operated at all times in accordance with the Statement of Purpose within the footprint of the designated centre on the floor plan received dated 19/05/2021. The registered provider shall only provide for the specific care and support needs,  and services,  within the facilities as set out the Statement of Purpose,  as agreed with the Chief Inspector at the time of registration. Any changes to the specific care and support needs and services provided must be agreed in advance with the Chief Inspector.Condition 2Only persons aged 18 years or older shall be accommodated at the designated centre at any time.Condition 3The maximum number of persons that may be accommodated at the designated centre is: 5.","Denis O'Connor,  Jean Lane,  Ken Gormley,  Shahla Sabetina,  Susan Kent,  Ray McKenna,  Eoin McVey,  Ciaran Bolger,  Deirdre Moran,  Anthony Staines,  Tom Casey,  Liam O'Donohoe,  Mairtin MacAodha",,https://www.hiqa.ie/areas-we-work/find-a-centre/middle-third,"[""https://www.hiqa.ie/system/files?file=inspectionreports/2360-a-middle-third-24-may-2023.pdf"" ""https://www.hiqa.ie/system/files?file=inspectionreports/2360-a-middle-third-25-may-2022.pdf"" ""https://www.hiqa.ie/system/files?file=inspectionreports/2360-a-middle-third-16-june-2021.pdf""]"
5387,A2,Peamount Healthcare,Mirjana Masic,Dublin,15,29-11-2023,"Condition 1 Subject to any prohibitions or restrictions contained in any other condition(s),  the designated centre shall be operated at all times in accordance with the Statement of Purpose within the footprint of the designated centre on the floor plan received on 29/05/2023. The registered provider shall only provide for the specific care and support needs,  and services,  within the facilities as set out the Statement of Purpose,  as agreed with the Chief Inspector at the time of registration. Any changes to the specific care and support needs and services provided must be agreed in advance with the Chief Inspector.Condition 2Only persons aged 18 years or older shall be accommodated at the designated centre at any time.Condition 3The maximum number of persons that may be accommodated at the designated centre is: 15.","Karen Maher,  Paul Ryan,  Paul Hackett,  John Whelan,  Prof Mary McCarron,  Pat Lyons,  Derek Montgomery,  Rozanne Barrow",,https://www.hiqa.ie/areas-we-work/find-a-centre/a2,"[""https://www.hiqa.ie/system/files?file=inspectionreports/5387-a2-27-july-2023.pdf"" ""https://www.hiqa.ie/system/files?file=inspectionreports/5387-a2-15-february-2023.pdf"" ""https://www.hiqa.ie/system/files?file=inspectionreports/5387-a-2-31-august-2021.pdf""]"
4108,Abbey Residential Services,Western Care Association,Caroline Birmingham,Mayo,6,16-11-2021,"Condition 1 Subject to any prohibitions or restrictions contained in any other condition(s),  the designated centre shall be operated at all times in accordance with the Statement of Purpose within the footprint of the designated centre on the floor plan dated 26/01/2023. The registered provider shall only provide for the specific care and support needs,  and services,  within the facilities as set out the Statement of Purpose,  as agreed with the Chief Inspector at the time of registration. Any changes to the specific care and support needs and services provided must be agreed in advance with the Chief Inspector.Condition 2Only persons aged 18 years or older shall be accommodated at the designated centre at any time.Condition 3The maximum number of persons that may be accommodated at the designated centre is 6.","Martin Greaney,  Mark Moore,  Seamus McCormack,  Fiona Campbell,  Angela Campbell,  Iarla Duffy,  Cathy Fleming,  Suzanne Ryan,  Hugh Farrell,  Alan McCarron,  Frances Burke",,https://www.hiqa.ie/areas-we-work/find-a-centre/abbey-residential-services,"[""https://www.hiqa.ie/system/files?file=inspectionreports/4108-abbey-respite-residential-services-29-november-2022.pdf"" ""https://www.hiqa.ie/system/files?file=inspectionreports/4108-abbey-respite-residential-services-11-may-2021.pdf""]"
8050,Abbey View,St John of God Community Services CLG,Julie-Ann Browne,Meath,4,11-10-2021,"Condition 1 Subject to any prohibitions or restrictions contained in any other condition(s),  the designated centre shall be operated at all times in accordance with the Statement of Purpose within the footprint of the designated centre on the floor plan dated 15/10/2021. The registered provider shall only provide for the specific care and support needs,  and services,  within the facilities as set out the Statement of Purpose,  as agreed with the Chief Inspector at the time of registration. Any changes to the specific care and support needs and services provided must be agreed in advance with the Chief Inspector.Condition 2Only persons aged 18 years or older shall be accommodated at the designated centre at any time.Condition 3The maximum number of persons that may be accommodated at the designated centre is: 4.","Shane Hill,  Kieran Carolan,  Gerard O'Sullivan,  Elma Clancy,  Theresa Ghalaieny,  Peter O'Halloran,  Eimer O'Rourke,  James Hussey,  Charles Watchorn,  Gerard Boyle",,https://www.hiqa.ie/areas-we-work/find-a-centre/abbey-view,"[""https://www.hiqa.ie/system/files?file=inspectionreports/8050-abbey-view-02-march-2023.pdf"" ""https://www.hiqa.ie/system/files?file=inspectionreports/8050-abbey-view-19-october-2021.pdf""]"
3453,Abbey View Residences,The Cheshire Foundation in Ireland,Oksana Rastegajeva,Sligo,10,04-09-2023,"Condition 1 Subject to any prohibitions or restrictions contained in any other condition(s),  the designated centre shall be operated at all times in accordance with the Statement of Purpose within the footprint of the designated centre on the floor plan dated 14/02/2023. The registered provider shall only provide for the specific care and support needs,  and services,  within the facilities as set out the Statement of Purpose,  as agreed with the Chief Inspector at the time of registration. Any changes to the specific care and support needs and services provided must be agreed in advance with the Chief Inspector.Condition 2Only persons aged 18 years or older shall be accommodated at the designated centre at any time.Condition 3The maximum number of persons that may be accommodated at the designated centre is: 10.","Eileen Gormley,  Margaret Woods,  John Walsh,  Suzanne Crowe,  Ann-Marie Garbutt,  Fionnuala Murphy,  Carol O'Rourke,  Kieran Timmins,  John Connellan,  Conor Moore,  Sinead Lucey Brennan",,https://www.hiqa.ie/areas-we-work/find-a-centre/abbey-view-residences,"[""https://www.hiqa.ie/system/files?file=inspectionreports/3453-abbey-view-residences-12-april-2023.pdf"" ""https://www.hiqa.ie/system/files?file=inspectionreports/3453-abbey-view-residences-24-october-2022.pdf"" ""https://www.hiqa.ie/system/files?file=inspectionreports/3453-abbey-view-residences-03-november-2021.pdf"" ""https://www.hiqa.ie/system/files?file=inspectionreports/3453-abbey-view-residences-01-september-2020.pdf""]"
5250,Abbey Village Group Homes,Health Service Executive,Carrie Friel,Donegal,15,01-02-2021,"Condition 1 Subject to any prohibitions or restrictions contained in any other condition(s),  the designated centre shall be operated at all times in accordance with the Statement of Purpose within the footprint of the designated centre on the floor plan dated 07/08/2020. The registered provider shall only provide for the specific care and support needs,  and services,  within the facilities as set out the Statement of Purpose,  as agreed with the Chief Inspector at the time of registration. Any changes to the specific care and support needs and services provided must be agreed in advance with the Chief Inspector.Condition 2Only persons aged 18 years or older shall be accommodated at the designated centre at any time.Condition 3The maximum number of persons that may be accommodated at the designated centre is: 15.",,,https://www.hiqa.ie/areas-we-work/find-a-centre/abbey-village-group-homes,"[""https://www.hiqa.ie/system/files?file=inspectionreports/5250-abbey-village-group-homes-31-january-2023.pdf"" ""https://www.hiqa.ie/system/files?file=inspectionreports/5250-abbey-village-group-homes-18-may-2022.pdf""]"
3918,Abbeydeale Residential Services,Western Care Association,Anneka Murphy,Mayo,7,13-10-2021,"Condition 1 Subject to any prohibitions or restrictions contained in any other condition(s),  the designated centre shall be operated at all times in accordance with the Statement of Purpose within the footprint of the designated centre on the floor plan dated 19/09/2014. The registered provider shall only provide for the specific care and support needs,  and services,  within the facilities as set out the Statement of Purpose,  as agreed with the Chief Inspector at the time of registration. Any changes to the specific care and support needs and services provided must be agreed in advance with the Chief Inspector.Condition 2Only persons aged 18 years or older shall be accommodated at the designated centre at any time.Condition 3The maximum number of persons that may be accommodated at the designated centre is: 7","Martin Greaney,  Mark Moore,  Seamus McCormack,  Fiona Campbell,  Angela Campbell,  Iarla Duffy,  Cathy Fleming,  Suzanne Ryan,  Hugh Farrell,  Alan McCarron,  Frances Burke",,https://www.hiqa.ie/areas-we-work/find-a-centre/abbeydeale-residential-services,"[""https://www.hiqa.ie/system/files?file=inspectionreports/3918-abbeydeale-residential-services-26-may-2022.pdf"" ""https://www.hiqa.ie/system/files?file=inspectionreports/3918-abbeydeale-residential-services-18-june-2021.pdf""]"
2362,Abbeyfield Residential,St Michael's House,Louise Murphy,Dublin,5,15-08-2022,"Condition 1 Subject to any prohibitions or restrictions contained in any other condition(s),  the designated centre shall be operated at all times in accordance with the Statement of Purpose within the footprint of the designated centre on the floor plan dated 24/03/2022. The registered provider shall only provide for the specific care and support needs,  and services,  within the facilities as set out the Statement of Purpose,  as agreed with the Chief Inspector at the time of registration. Any changes to the specific care and support needs and services provided must be agreed in advance with the Chief Inspector.Condition 2Only persons aged 18 years or older shall be accommodated at the designated centre at any time.Condition 3The maximum number of persons that may be accommodated at the designated centre is: 5.","Denis O'Connor,  Jean Lane,  Ken Gormley,  Shahla Sabetina,  Susan Kent,  Ray McKenna,  Eoin McVey,  Ciaran Bolger,  Deirdre Moran,  Anthony Staines,  Tom Casey,  Liam O'Donohoe,  Mairtin MacAodha",,https://www.hiqa.ie/areas-we-work/find-a-centre/abbeyfield-residential,"[""https://www.hiqa.ie/system/files?file=inspectionreports/2362-abbeyfield-residential-15-february-2022.pdf"" ""https://www.hiqa.ie/system/files?file=inspectionreports/2362-abbeyfield-residential-24-june-2021.pdf""]"
8022,Abbeyglen,Praxis Care,Sorcha Hennessy,Dublin,3,01-06-2021,"Condition 1 Subject to any prohibitions or restrictions contained in any other condition(s),  the designated centre shall be operated at all times in accordance with the Statement of Purpose within the footprint of the designated centre on the floor plan dated 12.05.2022. The registered provider shall only provide for the specific care and support needs,  and services,  within the facilities as set out the Statement of Purpose,  as agreed with the Chief Inspector at the time of registration. Any changes to the specific care and support needs and services provided must be agreed in advance with the Chief Inspector.Condition 2Only persons aged 18 years or older shall be accommodated at the designated centre at any time.Condition 3The maximum number of persons that may be accommodated at the designated centre is: 3.","Jacinta Walsh,  Mary McColgan,  Patrick Ambrose McLoughlin,  Jason Rance,  Alyson Dunn,  Mike Dawson,  John Melvin,  Kenneth Brundle,  John McGregor,  Tim Hopkins,  Oswyn Paulin,  Noreen Roche",,https://www.hiqa.ie/areas-we-work/find-a-centre/abbeyglen,"[""https://www.hiqa.ie/system/files?file=inspectionreports/8022-abbeyglen-05-april-2023.pdf"" ""https://www.hiqa.ie/system/files?file=inspectionreports/8022-abbeyglen-15-february-2022.pdf""]"
4067,Abbeytrinity Services,Ability West,,Galway,5,29-10-2021,"Condition 1 Subject to any prohibitions or restrictions contained in any other condition(s),  the designated centre shall be operated at all times in accordance with the Statement of Purpose within the footprint of the designated centre on the floor plan dated 23/03/2018. The registered provider shall only provide for the specific care and support needs,  and services,  within the facilities as set out the Statement of Purpose,  as agreed with the Chief Inspector at the time of registration. Any changes to the specific care and support needs and services provided must be agreed in advance with the Chief Inspector.Condition 2Only persons aged 18 years or older shall be accommodated at the designated centre at any time.Condition 3The maximum number of persons that may be accommodated at the designated centre is: 5.","Anna Lawless,  Ray Kelly,  Jack King,  Michael Finnerty,  Breda Dolan,  Kevin Newell",,https://www.hiqa.ie/areas-we-work/find-a-centre/abbeytrinity-services,"[""https://www.hiqa.ie/system/files?file=inspectionreports/4067-abbeytrinity-services-02-february-2023.pdf"" ""https://www.hiqa.ie/system/files?file=inspectionreports/4067-abbeytrinity-services-31-may-2022.pdf"" ""https://www.hiqa.ie/system/files?file=inspectionreports/4067-abbeytrinity-services-19-august-2020.pdf""]"
2411,Abode Doorway to Life CLG,Abode Doorway to Life CLG,Lydia Flanagan,Cork,10,24-02-2021,"Condition 1 Subject to any prohibitions or restrictions contained in any other condition(s),  the designated centre shall be operated at all times in accordance with the Statement of Purpose within the footprint of the designated centre on the floor plan dated 05/12/2022. The registered provider shall only provide for the specific care and support needs,  and services,  within the facilities as set out the Statement of Purpose,  as agreed with the Chief Inspector at the time of registration. Any changes to the specific care and support needs and services provided must be agreed in advance with the Chief Inspector.Condition 2Only persons aged 18 years or older shall be accommodated at the designated centre at any time.Condition 3The maximum number of persons that may be accommodated at the designated centre is: 10.","Liz Hesse O'Sullivan,  Paul O'Sullivan,  Mary Kieran,  Claire O'Sullivan,  John Byrne,  Catherine Shortt,  Margaret Desmond,  Shane Moloney",,https://www.hiqa.ie/areas-we-work/find-a-centre/abode-doorway-life-clg,"[""https://www.hiqa.ie/system/files?file=inspectionreports/2411-abode-doorway-to-life-clg-29-november-2022.pdf"" ""https://www.hiqa.ie/system/files?file=inspectionreports/2411-abode-doorway-to-life-clg-10-march-2022.pdf"" ""https://www.hiqa.ie/system/files?file=inspectionreports/2411-abode-doorway-to-life-clg-07-september-2021.pdf""]"
8285,Acorn House,Health Service Executive,Anne Marie Wallace,Westmeath,4,18-11-2022,"Condition 1 Subject to any prohibitions or restrictions contained in any other condition(s),  the designated centre shall be operated at all times in accordance with the Statement of Purpose within the footprint of the designated centre on the floor plan dated 23/05/2022. The registered provider shall only provide for the specific care and support needs,  and services,  within the facilities as set out the Statement of Purpose,  as agreed with the Chief Inspector at the time of registration. Any changes to the specific care and support needs and services provided must be agreed in advance with the Chief Inspector.Condition 2Only persons aged 18 years or older shall be accommodated at the designated centre at any time.Condition 3The maximum number of persons that may be accommodated at the designated centre is: 4",,,https://www.hiqa.ie/areas-we-work/find-a-centre/acorn-house,"[""https://www.hiqa.ie/system/files?file=inspectionreports/8285-acorn-house-09-may-2023.pdf"" ""https://www.hiqa.ie/system/files?file=inspectionreports/8285-acorn-house-28-february-2023.pdf""]"
6535,Acorn Residential Services,Carriglea Cáirde Services,Carol Walsh,Waterford,1,26-08-2022,"Condition 1 Subject to any prohibitions or restrictions contained in any other condition(s),  the designated centre shall be operated at all times in accordance with the Statement of Purpose within the footprint of the designated centre on the floor plan dated 10/03/2022. The registered provider shall only provide for the specific care and support needs,  and services,  within the facilities as set out the Statement of Purpose,  as agreed with the Chief Inspector at the time of registration. Any changes to the specific care and support needs and services provided must be agreed in advance with the Chief Inspector.Condition 2Only persons aged 18 years or older shall be accommodated at the designated centre at any time.Condition 3The maximum number of persons that may be accommodated at the designated centre is: 1.","Michael Culloo,  Denis Herlihy,  Pat Phelan,  Isobel Brennock,  Barry O'Brien,  Mary Fitzgerald,  Nan Ferrari,  Thomas Horgan",,https://www.hiqa.ie/areas-we-work/find-a-centre/acorn-residential-services,
3914,Acorn Respite & Residential Services,Western Care Association,Aoife Williams,Mayo,9,16-11-2021,"Condition 1 Subject to any prohibitions or restrictions contained in any other condition(s),  the designated centre shall be operated at all times in accordance with the Statement of Purpose within the footprint of the designated centre on the floor plan dated 19/05/2023. The registered provider shall only provide for the specific care and support needs,  and services,  within the facilities as set out the Statement of Purpose,  as agreed with the Chief Inspector at the time of registration. Any changes to the specific care and support needs and services provided must be agreed in advance with the Chief Inspector.Condition 2Only persons aged 18 years or older shall be accommodated at the designated centre at any time.Condition 3The maximum number of persons that may be accommodated at the designated centre is 9.","Martin Greaney,  Mark Moore,  Seamus McCormack,  Fiona Campbell,  Angela Campbell,  Iarla Duffy,  Cathy Fleming,  Suzanne Ryan,  Hugh Farrell,  Alan McCarron,  Frances Burke",,https://www.hiqa.ie/areas-we-work/find-a-centre/acorn-respite-residential-services,"[""https://www.hiqa.ie/system/files?file=inspectionreports/3914-acorn-residential-services-19-may-2021.pdf""]"
5041,Acorn Services,Brothers of Charity Services Ireland CLG,Vincent Kelly,Galway,6,01-02-2022,"Condition 1 Subject to any prohibitions or restrictions contained in any other condition(s),  the designated centre shall be operated at all times in accordance with the Statement of Purpose within the footprint of the designated centre on the floor plan dated 22/09/2021.The registered provider shall only provide for the specific care and support needs,  and services,  within the facilities as set out the Statement of Purpose,  as agreed with the Chief Inspector at the time of registration. Any changes to the specific care and support needs and services provided must be agreed in advance with the Chief Inspector.Condition 2Only persons aged 18 years or older shall be accommodated at the designated centre at any time.Condition 3The maximum number of persons that may be accommodated at the designated centre is 6.","Siobhan Allen,  Geraldine Larkin,  Noel Corcoran,  Anne Geraghty,  Evin Cusack,  Joseph Delahunty,  John O'Shea,  John O'Shea,  John Gerard Barry,  Augustine (Alfred) Thomas Hassett,  John Hayes,  Patrick McGinley",,https://www.hiqa.ie/areas-we-work/find-a-centre/acorn-services,"[""https://www.hiqa.ie/system/files?file=inspectionreports/5041-acorn-services-27-june-2023.pdf"" ""https://www.hiqa.ie/system/files?file=inspectionreports/5041-acorn-services-07-september-2021.pdf"" ""https://www.hiqa.ie/system/files?file=inspectionreports/5041-acorn-services-05-august-2020.pdf""]"
