Centre_ID,Centre_Title,Registration_Provider,Person_in_Charge,County,Maximum_Occupancy,Registration_Date,Registration_Conditions,Company_Directors,Chief_Inspector_Note,URL
2360,"A Middle Third","St Michael's House","Julie Cassidy",Dublin,5,18-11-2021,"Condition 1 Subject to any prohibitions or restrictions contained in any other condition(s),  the designated centre shall be operated at all times in accordance with the Statement of Purpose within the footprint of the designated centre on the floor plan received dated 19/05/2021. The registered provider shall only provide for the specific care and support needs,  and services,  within the facilities as set out the Statement of Purpose,  as agreed with the Chief Inspector at the time of registration. Any changes to the specific care and support needs and services provided must be agreed in advance with the Chief Inspector.Condition 2Only persons aged 18 years or older shall be accommodated at the designated centre at any time.Condition 3The maximum number of persons that may be accommodated at the designated centre is: 5.","Denis O'Connor,  Jean Lane,  Ken Gormley,  Shahla Sabetina,  Susan Kent,  Ray McKenna,  Eoin McVey,  Ciaran Bolger,  Deirdre Moran,  Anthony Staines,  Tom Casey,  Liam O'Donohoe,  Mairtin MacAodha",,https://www.hiqa.ie/areas-we-work/find-a-centre/middle-third
5387,A2,"Peamount Healthcare","Mirjana Masic",Dublin,15,29-11-2020,"Condition 1 Subject to any prohibitions or restrictions contained in any other condition(s),  the designated centre shall be operated at all times in accordance with the Statement of Purpose within the footprint of the designated centre on the floor plan dated 13 March 2017. The registered provider shall only provide for the specific care and support needs,  and services,  within the facilities as set out the Statement of Purpose,  as agreed with the Chief Inspector at the time of registration. Any changes to the specific care and support needs and services provided must be agreed in advance with the Chief Inspector.Condition 2Only persons aged 18 years or older shall be accommodated at the designated centre at any time.Condition 3The maximum number of persons that may be accommodated at the designated centre is 15.","Karen Maher,  Paul Ryan,  Paul Hackett,  John Whelan,  Prof Mary McCarron,  Pat Lyons,  Derek Montgomery,  Rozanne Barrow",,https://www.hiqa.ie/areas-we-work/find-a-centre/a2
4108,"Abbey Residential Services","Western Care Association",,Mayo,6,16-11-2021,"Condition 1 Subject to any prohibitions or restrictions contained in any other condition(s),  the designated centre shall be operated at all times in accordance with the Statement of Purpose within the footprint of the designated centre on the floor plan dated 26/01/2023. The registered provider shall only provide for the specific care and support needs,  and services,  within the facilities as set out the Statement of Purpose,  as agreed with the Chief Inspector at the time of registration. Any changes to the specific care and support needs and services provided must be agreed in advance with the Chief Inspector.Condition 2Only persons aged 18 years or older shall be accommodated at the designated centre at any time.Condition 3The maximum number of persons that may be accommodated at the designated centre is 6.","Martin Greaney,  Mark Moore,  Seamus McCormack,  Fiona Campbell,  Angela Campbell,  Iarla Duffy,  Michael Prendergast,  Cathy Fleming,  Suzanne Ryan,  Hugh Farrell,  Alan McCarron,  Frances Burke",,https://www.hiqa.ie/areas-we-work/find-a-centre/abbey-residential-services
8050,"Abbey View","St John of God Community Services CLG","Julie-Ann Browne",Meath,4,11-10-2021,"Condition 1 Subject to any prohibitions or restrictions contained in any other condition(s),  the designated centre shall be operated at all times in accordance with the Statement of Purpose within the footprint of the designated centre on the floor plan dated 15/10/2021. The registered provider shall only provide for the specific care and support needs,  and services,  within the facilities as set out the Statement of Purpose,  as agreed with the Chief Inspector at the time of registration. Any changes to the specific care and support needs and services provided must be agreed in advance with the Chief Inspector.Condition 2Only persons aged 18 years or older shall be accommodated at the designated centre at any time.Condition 3The maximum number of persons that may be accommodated at the designated centre is: 4.","Shane Hill,  Kieran Carolan,  Gerard O'Sullivan,  Elma Clancy,  Theresa Ghalaieny,  Peter O'Halloran,  Eimer O'Rourke,  James Hussey,  Charles Watchorn,  Gerard Boyle",,https://www.hiqa.ie/areas-we-work/find-a-centre/abbey-view
3453,"Abbey View Residences","The Cheshire Foundation in Ireland","Oksana Rastegajeva",Sligo,10,04-09-2023,"Condition 1 Subject to any prohibitions or restrictions contained in any other condition(s),  the designated centre shall be operated at all times in accordance with the Statement of Purpose within the footprint of the designated centre on the floor plan dated 14/02/2023. The registered provider shall only provide for the specific care and support needs,  and services,  within the facilities as set out the Statement of Purpose,  as agreed with the Chief Inspector at the time of registration. Any changes to the specific care and support needs and services provided must be agreed in advance with the Chief Inspector.Condition 2Only persons aged 18 years or older shall be accommodated at the designated centre at any time.Condition 3The maximum number of persons that may be accommodated at the designated centre is: 10.","Eileen Gormley,  Margaret Woods,  John Walsh,  Suzanne Crowe,  Ann-Marie Garbutt,  Fionnuala Murphy,  Carol O'Rourke,  Kieran Timmins,  Michael Haynes,  John Connellan,  Michael Bourke",,https://www.hiqa.ie/areas-we-work/find-a-centre/abbey-view-residences
5250,"Abbey Village Group Homes","Health Service Executive","Carrie Friel",Donegal,15,01-02-2021,"Condition 1 Subject to any prohibitions or restrictions contained in any other condition(s),  the designated centre shall be operated at all times in accordance with the Statement of Purpose within the footprint of the designated centre on the floor plan dated 07/08/2020. The registered provider shall only provide for the specific care and support needs,  and services,  within the facilities as set out the Statement of Purpose,  as agreed with the Chief Inspector at the time of registration. Any changes to the specific care and support needs and services provided must be agreed in advance with the Chief Inspector.Condition 2Only persons aged 18 years or older shall be accommodated at the designated centre at any time.Condition 3The maximum number of persons that may be accommodated at the designated centre is: 15.",,,https://www.hiqa.ie/areas-we-work/find-a-centre/abbey-village-group-homes
3918,"Abbeydeale Residential Services","Western Care Association","Anneka Murphy",Mayo,7,13-10-2021,"Condition 1 Subject to any prohibitions or restrictions contained in any other condition(s),  the designated centre shall be operated at all times in accordance with the Statement of Purpose within the footprint of the designated centre on the floor plan dated 19/09/2014. The registered provider shall only provide for the specific care and support needs,  and services,  within the facilities as set out the Statement of Purpose,  as agreed with the Chief Inspector at the time of registration. Any changes to the specific care and support needs and services provided must be agreed in advance with the Chief Inspector.Condition 2Only persons aged 18 years or older shall be accommodated at the designated centre at any time.Condition 3The maximum number of persons that may be accommodated at the designated centre is: 7","Martin Greaney,  Mark Moore,  Seamus McCormack,  Fiona Campbell,  Angela Campbell,  Iarla Duffy,  Michael Prendergast,  Cathy Fleming,  Suzanne Ryan,  Hugh Farrell,  Alan McCarron,  Frances Burke",,https://www.hiqa.ie/areas-we-work/find-a-centre/abbeydeale-residential-services
2362,"Abbeyfield Residential","St Michael's House","Louise Murphy",Dublin,5,15-08-2022,"Condition 1 Subject to any prohibitions or restrictions contained in any other condition(s),  the designated centre shall be operated at all times in accordance with the Statement of Purpose within the footprint of the designated centre on the floor plan dated 24/03/2022. The registered provider shall only provide for the specific care and support needs,  and services,  within the facilities as set out the Statement of Purpose,  as agreed with the Chief Inspector at the time of registration. Any changes to the specific care and support needs and services provided must be agreed in advance with the Chief Inspector.Condition 2Only persons aged 18 years or older shall be accommodated at the designated centre at any time.Condition 3The maximum number of persons that may be accommodated at the designated centre is: 5.","Denis O'Connor,  Jean Lane,  Ken Gormley,  Shahla Sabetina,  Susan Kent,  Ray McKenna,  Eoin McVey,  Ciaran Bolger,  Deirdre Moran,  Anthony Staines,  Tom Casey,  Liam O'Donohoe,  Mairtin MacAodha",,https://www.hiqa.ie/areas-we-work/find-a-centre/abbeyfield-residential
8022,Abbeyglen,"Praxis Care","Sorcha Hennessy",Dublin,3,01-06-2021,"Condition 1 Subject to any prohibitions or restrictions contained in any other condition(s),  the designated centre shall be operated at all times in accordance with the Statement of Purpose within the footprint of the designated centre on the floor plan dated 12.05.2022. The registered provider shall only provide for the specific care and support needs,  and services,  within the facilities as set out the Statement of Purpose,  as agreed with the Chief Inspector at the time of registration. Any changes to the specific care and support needs and services provided must be agreed in advance with the Chief Inspector.Condition 2Only persons aged 18 years or older shall be accommodated at the designated centre at any time.Condition 3The maximum number of persons that may be accommodated at the designated centre is: 3.","Jacinta Walsh,  Mary McColgan,  Patrick Ambrose McLoughlin,  Jason Rance,  Alyson Dunn,  Mike Dawson,  John Melvin,  Kenneth Brundle,  John McGregor,  Tim Hopkins,  Oswyn Paulin,  Noreen Roche",,https://www.hiqa.ie/areas-we-work/find-a-centre/abbeyglen
4067,"Abbeytrinity Services","Ability West","Emer Dooley",Galway,5,29-10-2021,"Condition 1 Subject to any prohibitions or restrictions contained in any other condition(s),  the designated centre shall be operated at all times in accordance with the Statement of Purpose within the footprint of the designated centre on the floor plan dated 23/03/2018. The registered provider shall only provide for the specific care and support needs,  and services,  within the facilities as set out the Statement of Purpose,  as agreed with the Chief Inspector at the time of registration. Any changes to the specific care and support needs and services provided must be agreed in advance with the Chief Inspector.Condition 2Only persons aged 18 years or older shall be accommodated at the designated centre at any time.Condition 3The maximum number of persons that may be accommodated at the designated centre is: 5.","Shane Lynch,  Anna Lawless,  Ray Kelly,  Jack King,  Michael Finnerty,  Breda Dolan,  Kevin Newell",,https://www.hiqa.ie/areas-we-work/find-a-centre/abbeytrinity-services
2411,"Abode Doorway to Life CLG","Abode Doorway to Life CLG","Lydia Flanagan",Cork,10,24-02-2021,"Condition 1 Subject to any prohibitions or restrictions contained in any other condition(s),  the designated centre shall be operated at all times in accordance with the Statement of Purpose within the footprint of the designated centre on the floor plan dated 05/12/2022. The registered provider shall only provide for the specific care and support needs,  and services,  within the facilities as set out the Statement of Purpose,  as agreed with the Chief Inspector at the time of registration. Any changes to the specific care and support needs and services provided must be agreed in advance with the Chief Inspector.Condition 2Only persons aged 18 years or older shall be accommodated at the designated centre at any time.Condition 3The maximum number of persons that may be accommodated at the designated centre is: 10.","Liz Hesse O'Sullivan,  Paul O'Sullivan,  Mary Kieran,  Claire O'Sullivan,  John Byrne,  Catherine Shortt,  Margaret Desmond,  Shane Moloney",,https://www.hiqa.ie/areas-we-work/find-a-centre/abode-doorway-life-clg
8285,"Acorn House","Health Service Executive","Anne Marie Wallace",Westmeath,4,18-11-2022,"Condition 1 Subject to any prohibitions or restrictions contained in any other condition(s),  the designated centre shall be operated at all times in accordance with the Statement of Purpose within the footprint of the designated centre on the floor plan dated 23/05/2022. The registered provider shall only provide for the specific care and support needs,  and services,  within the facilities as set out the Statement of Purpose,  as agreed with the Chief Inspector at the time of registration. Any changes to the specific care and support needs and services provided must be agreed in advance with the Chief Inspector.Condition 2Only persons aged 18 years or older shall be accommodated at the designated centre at any time.Condition 3The maximum number of persons that may be accommodated at the designated centre is: 4",,,https://www.hiqa.ie/areas-we-work/find-a-centre/acorn-house
6535,"Acorn Residential Services","Carriglea Cáirde Services","Carol Walsh",Waterford,1,26-08-2022,"Condition 1 Subject to any prohibitions or restrictions contained in any other condition(s),  the designated centre shall be operated at all times in accordance with the Statement of Purpose within the footprint of the designated centre on the floor plan dated 10/03/2022. The registered provider shall only provide for the specific care and support needs,  and services,  within the facilities as set out the Statement of Purpose,  as agreed with the Chief Inspector at the time of registration. Any changes to the specific care and support needs and services provided must be agreed in advance with the Chief Inspector.Condition 2Only persons aged 18 years or older shall be accommodated at the designated centre at any time.Condition 3The maximum number of persons that may be accommodated at the designated centre is: 1.","Michael Culloo,  Denis Herlihy,  Pat Phelan,  Isobel Brennock,  Barry O'Brien,  Mary Fitzgerald,  Nan Ferrari,  Thomas Horgan",,https://www.hiqa.ie/areas-we-work/find-a-centre/acorn-residential-services
3914,"Acorn Respite & Residential Services","Western Care Association","Aoife Williams",Mayo,9,16-11-2021,"Condition 1 Subject to any prohibitions or restrictions contained in any other condition(s),  the designated centre shall be operated at all times in accordance with the Statement of Purpose within the footprint of the designated centre on the floor plan dated 19/05/2023. The registered provider shall only provide for the specific care and support needs,  and services,  within the facilities as set out the Statement of Purpose,  as agreed with the Chief Inspector at the time of registration. Any changes to the specific care and support needs and services provided must be agreed in advance with the Chief Inspector.Condition 2Only persons aged 18 years or older shall be accommodated at the designated centre at any time.Condition 3The maximum number of persons that may be accommodated at the designated centre is 9.","Martin Greaney,  Mark Moore,  Seamus McCormack,  Fiona Campbell,  Angela Campbell,  Iarla Duffy,  Michael Prendergast,  Cathy Fleming,  Suzanne Ryan,  Hugh Farrell,  Alan McCarron,  Frances Burke",,https://www.hiqa.ie/areas-we-work/find-a-centre/acorn-respite-residential-services
5041,"Acorn Services","Brothers of Charity Services Ireland CLG","Vincent Kelly",Galway,6,01-02-2022,"Condition 1 Subject to any prohibitions or restrictions contained in any other condition(s),  the designated centre shall be operated at all times in accordance with the Statement of Purpose within the footprint of the designated centre on the floor plan dated 22/09/2021.The registered provider shall only provide for the specific care and support needs,  and services,  within the facilities as set out the Statement of Purpose,  as agreed with the Chief Inspector at the time of registration. Any changes to the specific care and support needs and services provided must be agreed in advance with the Chief Inspector.Condition 2Only persons aged 18 years or older shall be accommodated at the designated centre at any time.Condition 3The maximum number of persons that may be accommodated at the designated centre is 6.","Siobhan Allen,  Geraldine Larkin,  Noel Corcoran,  Anne Geraghty,  Evin Cusack,  Joseph Delahunty,  John O'Shea,  John O'Shea,  John Gerard Barry,  Augustine (Alfred) Thomas Hassett,  John Hayes,  Patrick McGinley",,https://www.hiqa.ie/areas-we-work/find-a-centre/acorn-services
1527,"Adelaide Road","Peter Bradley Foundation Company Limited by Guarantee","Fiona Doyle",Dublin,7,07-06-2021,"Condition 1 Subject to any prohibitions or restrictions contained in any other condition(s),  the designated centre shall be operated at all times in accordance with the Statement of Purpose within the footprint of the designated centre on the floor plan dated 18.12.2020. The registered provider shall only provide for the specific care and support needs,  and services,  within the facilities as set out the Statement of Purpose,  as agreed with the Chief Inspector at the time of registration. Any changes to the specific care and support needs and services provided must be agreed in advance with the Chief Inspector.Condition 2Only persons aged 18 years or older shall be accommodated at the designated centre at any time.Condition 3The maximum number of persons that may be accommodated at the designated centre is 7.Condition 4Not withstanding the requirements placed on the registered provider to comply with the Health Act 2007 (Care and Support of Residents In Designated Centres for Persons with Disabilities) Regulations 2013,  the registered provider shall take all necessary action to comply with: • Regulation 17(1)(a),  to the satisfaction of the office of the Chief Inspector no later than 31/12/2023.","Tina Leonard,  Clair Cullinan,  Robert McCarthy,  Michael O'Mahony,  Hugh O'Connor,  Andy Heffernan,  Colm Eustace,  Ann Coyle,  Niamh Cahill",,https://www.hiqa.ie/areas-we-work/find-a-centre/adelaide-road
1841,"Adult Respite","St Christopher's Services Company Limited by Guarantee","Pamela Coy",Longford,6,08-05-2021,"Condition 1 Subject to any prohibitions or restrictions contained in any other condition(s),  the designated centre shall be operated at all times in accordance with the Statement of Purpose within the footprint of the designated centre on the floor plan dated 02/12/2022. The registered provider shall only provide for the specific care and support needs,  and services,  within the facilities as set out the Statement of Purpose,  as agreed with the Chief Inspector at the time of registration. Any changes to the specific care and support needs and services provided must be agreed in advance with the Chief Inspector.Condition 2Only persons aged 18 years or older shall be accommodated at the designated centre at any time.Condition 3The maximum number of persons that may be accommodated at the designated centre is: 6.","Thomas Queally,  Rose McKenna,  Moira Mahon Walsh,  Emmett Corcoran,  Uruemu Adejinmi,  Nicola Fennessy,  Ellie Shanley,  Beatrice Muldoon,  Margaret Connellan,  Derek Scanlon",,https://www.hiqa.ie/areas-we-work/find-a-centre/adult-respite
3937,"Adult Respite Services - St. Vincent's Residential Services","Avista CLG","Michael Hunt",Limerick,6,13-09-2022,"Condition 1 Subject to any prohibitions or restrictions contained in any other condition(s),  the designated centre shall be operated at all times in accordance with the Statement of Purpose within the footprint of the designated centre on the floor plan dated 14/02/2022. The registered provider shall only provide for the specific care and support needs,  and services,  within the facilities as set out the Statement of Purpose,  as agreed with the Chief Inspector at the time of registration. Any changes to the specific care and support needs and services provided must be agreed in advance with the Chief Inspector.Condition 2Only persons aged 18 years or older shall be accommodated at the designated centre at any time.Condition 3The maximum number of persons that may be accommodated at the designated centre is: 6.","Kieran Murphy,  Mary Kealy,  Sile Parsons,  Daniel O'Hare,  Noel Kidney,  Sally Byrne,  John O'Quigley",,https://www.hiqa.ie/areas-we-work/find-a-centre/adult-respite-services-st-vincents-residential-services
2399,"Ailesbury Respite","St Michael's House","Joanne Anderson",Dublin,5,05-07-2022,"Condition 1 Subject to any prohibitions or restrictions contained in any other condition(s),  the designated centre shall be operated at all times in accordance with the Statement of Purpose within the footprint of the designated centre on the floor plans received on 21/08/2023. The registered provider shall only provide for the specific care and support needs,  and services,  within the facilities as set out the Statement of Purpose,  as agreed with the Chief Inspector at the time of registration. Any changes to the specific care and support needs and services provided must be agreed in advance with the Chief Inspector.Condition 2Only persons aged 18 years or older shall be accommodated at the designated centre at any time.Condition 3The maximum number of persons that may be accommodated at the designated centre is: 5.","Denis O'Connor,  Jean Lane,  Ken Gormley,  Shahla Sabetina,  Susan Kent,  Ray McKenna,  Eoin McVey,  Ciaran Bolger,  Deirdre Moran,  Anthony Staines,  Tom Casey,  Liam O'Donohoe,  Mairtin MacAodha",,https://www.hiqa.ie/areas-we-work/find-a-centre/ailesbury-respite
8505,"Aingeal Lodge","Embrace Community Services Ltd","Paul Boland",Meath,5,11-05-2023,"Condition 1 Subject to any prohibitions or restrictions contained in any other condition(s),  the designated centre shall be operated at all times in accordance with the Statement of Purpose within the footprint of the designated centre on the floor plan dated 02/03/2023. The registered provider shall only provide for the specific care and support needs,  and services,  within the facilities as set out the Statement of Purpose,  as agreed with the Chief Inspector at the time of registration. Any changes to the specific care and support needs and services provided must be agreed in advance with the Chief Inspector.Condition 2Only persons aged 18 years or older shall be accommodated at the designated centre at any time.Condition 3The maximum number of persons that may be accommodated at the designated centre is: 5.","James Magrane,  Heather Laffin,  David Guilmartin,  Johnny Meehan",,https://www.hiqa.ie/areas-we-work/find-a-centre/aingeal-lodge
8618,"Aisling House","St John of God Community Services CLG","Shirley Cassidy",Louth,3,13-10-2023,"Condition 1 Subject to any prohibitions or restrictions contained in any other condition(s),  the designated centre shall be operated at all times in accordance with the Statement of Purpose within the footprint of the designated centre on the floor plan received on 07/09/2023. The registered provider shall only provide for the specific care and support needs,  and services,  within the facilities as set out the Statement of Purpose,  as agreed with the Chief Inspector at the time of registration. Any changes to the specific care and support needs and services provided must be agreed in advance with the Chief Inspector.Condition 2Only persons aged 18 years or older shall be accommodated at the designated centre at any time.Condition 3The maximum number of persons that may be accommodated at the designated centre is: 3.","Shane Hill,  Kieran Carolan,  Gerard O'Sullivan,  Elma Clancy,  Theresa Ghalaieny,  Peter O'Halloran,  Eimer O'Rourke,  James Hussey,  Charles Watchorn,  Gerard Boyle",,https://www.hiqa.ie/areas-we-work/find-a-centre/aisling-house
2600,"Aisling House Services","Health Service Executive","Abibat Taiwo (Tai) Bello",Kildare,10,10-01-2023,"Condition 1 Subject to any prohibitions or restrictions contained in any other condition(s),  the designated centre shall be operated at all times in accordance with the Statement of Purpose within the footprint of the designated centre on the floor plan dated 12/07/2022. The registered provider shall only provide for the specific care and support needs,  and services,  within the facilities as set out the Statement of Purpose,  as agreed with the Chief Inspector at the time of registration. Any changes to the specific care and support needs and services provided must be agreed in advance with the Chief Inspector.Condition 2Only persons aged 18 years or older shall be accommodated at the designated centre at any time.Condition 3The maximum number of persons that may be accommodated at the designated centre is: 10.",,,https://www.hiqa.ie/areas-we-work/find-a-centre/aisling-house-services
